Star Rating,Rating Text,Date Added,Review Title
4.8 out of 5 stars,"
  I wanted some nice, basic lead pencils. These are just what I wanted at a very reasonable price and work well.
","Reviewed in the United States on December 6, 2019",Just what I was looking for
5.0 out of 5 stars,"
  Daughter likes these.
","Reviewed in the United States on June 2, 2017",Works great
2.0 out of 5 stars,"
  Love them; gave the granddaughter one.  Leads last and don't break (0.7 mm), easy to hold, cheerfully colored.  Extra leads and erasers included.  I use them all the time.  Very pleased.
","Reviewed in the United States on April 30, 2020","Reliable, no-fuss, very handy pencils!"
5.0 out of 5 stars,"
  Good pencils for the price, but the eraser isn’t great.
","Reviewed in the United States on June 24, 2020",Good pencil
5.0 out of 5 stars,"
  Beautiful colors! My kids love BIC mechanical pencils! We will buy again!
","Reviewed in the United States on June 23, 2018","Great price, great quality!"
5.0 out of 5 stars,"
  Back to school shopping, leas pencils were comfortable to use and my son loves them..
","Reviewed in the United States on January 16, 2020",Comfortable
4.0 out of 5 stars,"
  These pencils are my new favorites! My hand always gets sore when writing, but these are so comfy! There is great support and they write so nicely. I totally recommend.
","Reviewed in the United States on November 20, 2019",New favorite pencils!
5.0 out of 5 stars,"
  Good gift for kids for school!
","Reviewed in the United States on September 1, 2019",Work great!!
5.0 out of 5 stars,"
  Great grip. If you’re looking for a nice darker LED this works well. If you doodle with it, it smudges but it’s perfect for writing.
","Reviewed in the United States on January 9, 2020",Dark led pencil
5.0 out of 5 stars,"
  These work great they are one of my favorites.
","Reviewed in the United States on April 25, 2020",Favorite mechanical pencils
4.8 out of 5 stars,"
  Best inexpensive pencils. Comfortable grip.
","Reviewed in the United States on December 6, 2019",Great
5.0 out of 5 stars,"
  I like the velocity series they are so hard to find anymore!!
","Reviewed in the United States on June 2, 2017",Love the velocity
2.0 out of 5 stars,"
  Awesome--comfortable grip, works well, attractive design and fun colors that none-the-less don't look like anyone using them should also be using Lisa Frank stationary.  The eraser works well--you'll lose the little plastic cap in about five seconds but as it's not necessary, who cares?  The replacements are great.
","Reviewed in the United States on June 4, 2020",attractive design and fun colors that none-the-less don't look like anyone using them ...
5.0 out of 5 stars,"
  Very good
","Reviewed in the United States on October 23, 2019",Nice
5.0 out of 5 stars,"
  These pencils squeak when you write with them
","Reviewed in the United States on February 15, 2016",Squeaky pencils
5.0 out of 5 stars,"
  Love to use
","Reviewed in the United States on June 10, 2020",Great
5.0 out of 5 stars,"
  My kids love the design and the size of these pencils.
","Reviewed in the United States on April 12, 2020",Kids love it
1.0 out of 5 stars,"
  I like to use mechanical pencils and these are great.  Very sturdy, easily refilled and comfortable to use.
","Reviewed in the United States on March 21, 2020",Great buy
